iStep,time,X,Y,Z,Vx,Vy,Vz,Rx,Ry,Rz,Fx,Fy,Fz,Mx,My,Mz,Fcpx,Fcpy,Fcpz,Tcpx,Tcpy,Tcpz,SumUx,SumUy,SumUz,SumTx,SumTy,SumTz
42,0.021,4,2,4,0,0,0,0,0,0,66.8869,210.919,118.274,-92.8915,-35.0408,103.796,0,0,0,0,0,0,2.38181,32.3269,17.8019,-17.5607,0.877118,17.6576
43,0.0215,4,2,4,0,0,0,0,0,0,64.9544,211.504,118.71,-93.2279,-35.5049,103.471,0,0,0,0,0,0,2.39572,32.2321,17.8419,-17.6809,0.945,17.9233
44,0.022,4,2,4,0,0,0,0,0,0,63.0365,212.138,119.154,-93.5776,-35.9832,103.189,0,0,0,0,0,0,2.38961,32.1527,17.904,-17.8398,0.997949,18.1709
45,0.0225,4,2,4,0,0,0,0,0,0,61.1397,212.822,119.605,-94.1176,-36.4707,98.5744,0,0,0,0,0,0,2.34539,32.16,17.9779,-18.0162,1.0314,18.4069
46,0.023,4,2,4,0,0,0,0,0,0,59.235,213.574,120.069,-95.9897,-36.985,110.171,0,0,0,0,0,0,2.29252,32.2507,18.0586,-18.2143,1.03966,18.6841
47,0.0235,4,2,4,0,0,0,0,0,0,57.3013,214.339,120.523,-96.3665,-37.5232,109.797,0,0,0,0,0,0,2.19721,32.3604,18.1424,-18.4117,1.02831,18.9203
48,0.024,4,2,4,0,0,0,0,0,0,55.3766,215.119,120.99,-96.7466,-38.0848,109.417,0,0,0,0,0,0,2.05406,32.4739,18.2328,-18.6111,1.00136,19.0833
49,0.0245,4,2,4,0,0,0,0,0,0,53.4614,215.916,121.475,-97.1442,-38.6519,108.973,0,0,0,0,0,0,1.88207,32.5803,18.3549,-18.8508,0.946083,19.204
50,0.025,4,2,4,0,0,0,0,0,0,51.5347,216.686,121.944,-99.9061,-39.2238,112.154,0,0,0,0,0,0,1.7752,32.7404,18.4614,-19.0912,0.93093,19.4739
51,0.0255,4,2,4,0,0,0,0,0,0,49.5886,217.416,122.397,-100.289,-39.793,111.513,0,0,0,0,0,0,1.68051,32.9692,18.5604,-19.3398,0.902497,19.7886
52,0.026,4,2,4,0,0,0,0,0,0,47.6315,218.063,122.815,-100.621,-40.3402,110.778,0,0,0,0,0,0,1.55759,33.1609,18.6697,-19.5986,0.872013,20.028
53,0.0265,4,2,4,0,0,0,0,0,0,45.6809,218.621,123.203,-100.931,-40.8602,109.961,0,0,0,0,0,0,1.43091,33.3323,18.7758,-19.8649,0.850307,20.2471
54,0.027,4,2,4,0,0,0,0,0,0,43.7387,219.112,123.539,-102.895,-41.3537,110.095,0,0,0,0,0,0,1.22008,33.4876,18.8764,-20.1313,0.77727,20.2998
55,0.0275,4,2,4,0,0,0,0,0,0,41.7955,219.526,123.865,-103.16,-41.8462,109.177,0,0,0,0,0,0,1.04178,33.6242,18.9504,-20.3613,0.740319,20.4004
56,0.028,4,2,4,0,0,0,0,0,0,39.8723,219.882,124.184,-103.411,-42.3308,108.29,0,0,0,0,0,0,0.838846,33.7037,19.0161,-20.5499,0.68548,20.4258
57,0.0285,4,2,4,0,0,0,0,0,0,37.9749,220.182,124.506,-105.736,-42.8091,110.094,0,0,0,0,0,0,0.61116,33.7238,19.0665,-20.6924,0.624475,20.3643
58,0.029,4,2,4,0,0,0,0,0,0,36.1024,220.434,124.825,-107.684,-43.2825,108.813,0,0,0,0,0,0,0.383428,33.7466,19.1335,-20.8641,0.560742,20.2844
59,0.0295,4,2,4,0,0,0,0,0,0,34.2449,220.625,125.118,-107.873,-43.7342,107.796,0,0,0,0,0,0,0.140219,33.7049,19.2288,-21.061,0.463629,20.1342
60,0.03,4,2,4,0,0,0,0,0,0,32.4027,220.781,125.355,-107.986,-44.1538,106.778,0,0,0,0,0,0,-0.0975225,33.6012,19.3279,-21.2501,0.36484,19.9386
61,0.0305,4,2,4,0,0,0,0,0,0,30.564,220.893,125.544,-108.024,-44.548,105.764,0,0,0,0,0,0,-0.302337,33.5518,19.429,-21.4696,0.291522,19.8532
62,0.031,4,2,4,0,0,0,0,0,0,28.7225,221.014,125.66,-107.971,-44.9067,104.784,0,0,0,0,0,0,-0.525046,33.4584,19.5408,-21.7039,0.20924,19.6956
63,0.0315,4,2,4,0,0,0,0,0,0,26.8849,221.112,125.742,-109.992,-45.2504,104.436,0,0,0,0,0,0,-0.792111,33.2686,19.6021,-21.835,0.127735,19.3776
64,0.032,4,2,4,0,0,0,0,0,0,25.0545,221.195,125.826,-112.364,-45.5893,116.731,0,0,0,0,0,0,-1.05417,33.057,19.6368,-21.9278,0.0654387,19.0609
65,0.0325,4,2,4,0,0,0,0,0,0,23.2275,221.295,125.937,-112.312,-45.9405,115.692,0,0,0,0,0,0,-1.25348,32.9294,19.641,-22.0094,0.0554708,18.9191
66,0.033,4,2,4,0,0,0,0,0,0,21.4137,221.426,126.083,-112.326,-46.3053,114.7,0,0,0,0,0,0,-1.35678,32.8891,19.6494,-22.1267,0.0773704,19.0038
67,0.0335,4,2,4,0,0,0,0,0,0,19.5866,221.606,126.245,-112.382,-46.6832,113.739,0,0,0,0,0,0,-1.45582,32.8319,19.6678,-22.2553,0.0832753,19.0877
68,0.034,4,2,4,0,0,0,0,0,0,17.7657,221.823,126.438,-118.895,-47.0785,125.511,0,0,0,0,0,0,-1.57967,32.7703,19.7006,-22.4185,0.0733023,19.1321
