iStep,time,X,Y,Z,Vx,Vy,Vz,Rx,Ry,Rz,Fx,Fy,Fz,Mx,My,Mz,Fcpx,Fcpy,Fcpz,Tcpx,Tcpy,Tcpz,SumUx,SumUy,SumUz,SumTx,SumTy,SumTz
74,0.0185,4,2,4,0,0,0,0,0,0,-301.09,-91.3954,-228.458,-97.8047,-125.734,163.778,0,0,0,0,0,0,-50.3363,-4.28763,34.7682,25.9026,8.47298,39.3492
75,0.01875,4,2,4,0,0,0,0,0,0,-300.114,-91.7712,-228.655,-97.7612,-126.445,163.715,0,0,0,0,0,0,-50.3412,-4.24713,34.8286,25.8995,8.65726,39.3323
76,0.019,4,2,4,0,0,0,0,0,0,-299.123,-92.2028,-228.941,-97.7455,-127.225,163.68,0,0,0,0,0,0,-50.2431,-4.14902,34.8227,25.8511,8.80733,39.1779
77,0.01925,4,2,4,0,0,0,0,0,0,-298.195,-92.6774,-229.36,-97.8117,-128.104,163.73,0,0,0,0,0,0,-50.1988,-4.10178,34.9367,26.0021,8.99624,39.1573
78,0.0195,4,2,4,0,0,0,0,0,0,-297.357,-93.1397,-229.653,-97.7887,-128.912,163.829,0,0,0,0,0,0,-50.0385,-4.10282,34.8532,25.9698,9.09904,39.0699
79,0.01975,4,2,4,0,0,0,0,0,0,-296.554,-93.6232,-229.849,-97.7429,-129.668,163.945,0,0,0,0,0,0,-49.9686,-4.14894,34.7142,25.8347,9.17451,39.043
80,0.02,4,2,4,0,0,0,0,0,0,-295.767,-94.0252,-229.927,-97.5966,-130.356,164.015,0,0,0,0,0,0,-49.9255,-4.18383,34.6045,25.7257,9.2636,39.0527
81,0.02025,4,2,4,0,0,0,0,0,0,-294.934,-94.4071,-229.929,-97.3283,-131.0,164.018,0,0,0,0,0,0,-49.8238,-4.10184,34.5487,25.636,9.40469,38.9067
82,0.0205,4,2,4,0,0,0,0,0,0,-294.05,-94.8497,-230.042,-97.1568,-131.69,164.015,0,0,0,0,0,0,-49.7819,-3.97233,34.6189,25.6669,9.59632,38.7889
83,0.02075,4,2,4,0,0,0,0,0,0,-293.143,-95.2924,-230.278,-97.0691,-132.46,164.009,0,0,0,0,0,0,-49.8489,-3.91509,34.8398,25.859,9.85354,38.8251
84,0.021,4,2,4,0,0,0,0,0,0,-292.266,-95.7625,-230.652,-97.1039,-133.336,164.047,0,0,0,0,0,0,-49.8232,-3.87611,34.8872,25.8874,10.0171,38.7652
85,0.02125,4,2,4,0,0,0,0,0,0,-291.443,-96.2559,-230.984,-97.1275,-134.194,164.128,0,0,0,0,0,0,-49.7278,-3.88961,34.7868,25.7958,10.1066,38.6966
86,0.0215,4,2,4,0,0,0,0,0,0,-290.623,-96.6369,-231.132,-96.9916,-134.947,164.147,0,0,0,0,0,0,-49.696,-3.9603,34.6599,25.6723,10.1816,38.7121
87,0.02175,4,2,4,0,0,0,0,0,0,-289.827,-97.0171,-231.103,-96.6703,-135.61,164.165,0,0,0,0,0,0,-49.6327,-4.04483,34.5676,25.6127,10.2822,38.7434
88,0.022,4,2,4,0,0,0,0,0,0,-289.027,-97.4497,-231.042,-96.3491,-136.251,164.21,0,0,0,0,0,0,-49.5378,-3.95842,34.5261,25.5596,10.4173,38.6142
89,0.02225,4,2,4,0,0,0,0,0,0,-288.186,-97.8828,-231.078,-96.0839,-136.936,164.24,0,0,0,0,0,0,-49.499,-3.87161,34.6395,25.6503,10.6415,38.5447
90,0.0225,4,2,4,0,0,0,0,0,0,-287.295,-98.3036,-231.252,-95.9689,-137.698,164.233,0,0,0,0,0,0,-49.3987,-3.77557,34.6861,25.6711,10.8335,38.3998
91,0.02275,4,2,4,0,0,0,0,0,0,-286.367,-98.7664,-231.62,-95.9952,-138.596,164.212,0,0,0,0,0,0,-49.3683,-3.75278,34.673,25.6195,10.9818,38.3799
92,0.023,4,2,4,0,0,0,0,0,0,-285.506,-99.1375,-231.856,-95.8886,-139.433,164.173,0,0,0,0,0,0,-49.4505,-3.79921,34.673,25.5751,11.1059,38.4647
93,0.02325,4,2,4,0,0,0,0,0,0,-284.705,-99.5442,-231.902,-95.6351,-140.169,164.193,0,0,0,0,0,0,-49.4621,-3.85731,34.6319,25.5465,11.2082,38.5001
94,0.0235,4,2,4,0,0,0,0,0,0,-283.938,-99.9578,-231.825,-95.2929,-140.822,164.261,0,0,0,0,0,0,-49.3336,-3.88548,34.5505,25.4803,11.3038,38.4099
95,0.02375,4,2,4,0,0,0,0,0,0,-283.167,-100.374,-231.678,-94.896,-141.435,164.341,0,0,0,0,0,0,-49.3206,-3.87788,34.5592,25.4718,11.4548,38.4025
96,0.024,4,2,4,0,0,0,0,0,0,-282.344,-100.807,-231.662,-94.6111,-142.111,164.382,0,0,0,0,0,0,-49.2727,-3.80027,34.5892,25.4414,11.632,38.3059
97,0.02425,4,2,4,0,0,0,0,0,0,-281.436,-101.193,-231.806,-94.4434,-142.883,164.308,0,0,0,0,0,0,-49.1626,-3.6847,34.5904,25.3994,11.8251,38.1306
98,0.0245,4,2,4,0,0,0,0,0,0,-280.523,-101.538,-232.024,-94.3337,-143.725,164.195,0,0,0,0,0,0,-49.109,-3.61437,34.5741,25.325,11.9661,38.0087
99,0.02475,4,2,4,0,0,0,0,0,0,-279.649,-101.956,-232.155,-94.1513,-144.529,164.178,0,0,0,0,0,0,-49.2198,-3.66647,34.6833,25.4294,12.1479,38.1428
100,0.025,4,2,4,0,0,0,0,0,0,-278.87,-102.397,-232.152,-93.8388,-145.242,164.263,0,0,0,0,0,0,-49.2316,-3.72225,34.6481,25.3996,12.2351,38.159
101,0.02525,4,2,4,0,0,0,0,0,0,-278.132,-102.805,-232.029,-93.4247,-145.886,164.359,0,0,0,0,0,0,-49.1884,-3.78957,34.5533,25.3226,12.3237,38.1748
102,0.0255,4,2,4,0,0,0,0,0,0,-277.39,-103.223,-231.915,-93.0351,-146.527,164.452,0,0,0,0,0,0,-49.1088,-3.78015,34.5032,25.2394,12.4485,38.0741
103,0.02575,4,2,4,0,0,0,0,0,0,-276.547,-103.59,-231.825,-92.6819,-147.173,164.415,0,0,0,0,0,0,-49.0276,-3.74476,34.4647,25.1665,12.599,37.9706
104,0.026,4,2,4,0,0,0,0,0,0,-275.656,-103.921,-231.866,-92.4115,-147.89,164.313,0,0,0,0,0,0,-48.9735,-3.65937,34.4829,25.1185,12.7721,37.8624
105,0.02625,4,2,4,0,0,0,0,0,0,-274.769,-104.319,-232.035,-92.2387,-148.719,164.264,0,0,0,0,0,0,-48.9434,-3.65853,34.5399,25.1724,12.9661,37.8467
106,0.0265,4,2,4,0,0,0,0,0,0,-273.965,-104.764,-232.144,-92.0172,-149.524,164.342,0,0,0,0,0,0,-48.9895,-3.63124,34.6031,25.2086,13.1234,37.847
107,0.02675,4,2,4,0,0,0,0,0,0,-273.208,-105.165,-232.065,-91.6396,-150.202,164.427,0,0,0,0,0,0,-48.9351,-3.67002,34.466,25.0807,13.1616,37.8152
108,0.027,4,2,4,0,0,0,0,0,0,-272.446,-105.545,-231.947,-91.2472,-150.838,164.488,0,0,0,0,0,0,-48.8864,-3.75644,34.4364,25.0708,13.2856,37.8217
109,0.02725,4,2,4,0,0,0,0,0,0,-271.66,-105.896,-231.843,-90.8552,-151.483,164.488,0,0,0,0,0,0,-48.8402,-3.72188,34.3595,24.9469,13.3897,37.7033
